Magyar név,Mai hivatalos név,Ország
Abafája,Apalina,RO
Abafalva,Abovce,SK
Abara,Oborín,SK
Abásfalva,Aldea,RO
Abaszállás,Lehota,SK
Abaszéplak,Krásna nad Hornádom,SK
Abaújharaszti,Chrastné,SK
Abaújnádasd,Trstené pri Hornáde,SK
Abaújrákos,Rákoš,SK
Abaújszakaly,Sokoľany,SK
Abaújszina,Seňa,SK
Abdalóc,Edlitz im Burgenland,A
Ábelfalva,Abelová,SK
Abos,Obišovce,SK
Abosfalva,Abuş,RO
Ábrahám,Abrahám,SK
Ábrahámfalva,Abrahamovce,SK
Ábrahámpikfalva,Abrahamovce,SK
Ábránfalva,Obrăneşti,RO
Ábránka,Abranka,UA
Ábrány,Abranovce,SK
Abroncsos,Obručné,SK
Abrudbánya,Abrud,RO
Abrudfalva,Abrud-Sat,RO
Abrudkerpenyes,Cărpiniş,RO
Abucsa,Abucea,RO
Ácsfalva,Aciuţa,RO
Ácsva,Avram Iancu,RO
Ada,Ada,YU
Adalin,Adalin,RO
Ádámfalva,Adamovské Kochanovce,SK
Ádámfölde,Mošurov,SK
Ádámos,Adămuş,RO
Adjisten,Mičunovo,YU
Adorján,Adorjan,YU
Adorján,Adrian,RO
Adorjánfalva,Odranci,SLO
Aga,Brestovăţ,RO
Agadics,Agadici,RO
Ágcsernyő,Čierná,SK
Ágó,Agov,SK
Ágónyír,Nýrovce,SK
Ágostháza,Bystrany,SK
Ágostonfalva,Augustin,RO
Ágostonlak,Závadka nad Hronom,SK
Ágotakövesd,Coveş,RO
Ágya,Adea,RO
Agyagfalva,Lutiţa,RO
Agyagospatak,Hlinné,SK
Agyidóc,Adidovce,SK
Aha,Horný Ohaj,SK
Áj,Háj,SK
Ájfalucska,Hačava,SK
Ajnácskő,Hajnáčka,SK
Ajnád,Nădejdea,RO
Ajton,Aiton,RO
Akli,Klinove,UA
Aklihegy,Klinovecka Hora,UA
Aklitanya,Nove Klinove,UA
Aklos,Uklin,UA
Akmár,Acmariu,RO
Aknasugatag,Ocna Şugatag,RO
